state,is_felony,source/notes
Alabama,T,https://onlabor.org/wp-content/uploads/2016/03/StateLawsWorkplaceViolenceSheet.pdf
Alaska,T,
Arizona,T,
Arkansas,T,
California,T,
Connecticut,T,
Delaware,T,
District of Columbia,F,
Guam,F,
Hawaii,T,
Illinois,T,
Indiana,T,
Iowa,T,only felony with intent to inflict serious injury
Kansas,F,
Kentucky,F,
Louisiana,F,
Maine,F,
Maryland,F,
Massachusetts,F,
Michigan,F,
Minnesota,T,
Missouri,F,
Montana,F,
Nebraska,T,
Nevada,F,felony only with deadly weapon
New Jersey,F,
New Mexico,T,
New York,T,
North Carolina,T,
Ohio,F,
Oklahoma,T,
Oregon,F,
Pennsylvania,T,
Puerto Rico,F,
South Carolina,F,
Tennessee,F,
Texas,T,only emergency room personnel
Utah,F,
Vermont,F,
Virginia,T,
Virgin Islands,,
Washington,T,
West Virginia,T,
Wisconsin,T,
Wyoming,T,
